City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,East London,ZA,76.14,few clouds,-33.0153,27.9116,Tu Casa
4,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Luanda,AO,89.6,broken clouds,-8.8368,13.2343,Hotel Fórum
13,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
15,Rikitea,PF,78.67,few clouds,-23.1203,-134.9692,People ThankYou
17,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
18,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
20,Cockburn Town,TC,77.81,few clouds,21.4612,-71.1419,Osprey Beach Hotel
22,Souillac,MU,80.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
25,Antofagasta,CL,73.22,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
26,Makakilo City,US,71.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
27,Necochea,AR,84.04,few clouds,-38.5473,-58.7368,dyd -mar Hotel
35,Hermanus,ZA,73.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
38,Bowen,AU,75.42,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
39,Meulaboh,ID,76.53,overcast clouds,4.1363,96.1285,Kost Pria
42,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
44,Busselton,AU,72.09,clear sky,-33.65,115.3333,Observatory Guest House
45,Tutoia,BR,85.98,scattered clouds,-2.7619,-42.2744,Pousada Guará's
47,Port Alfred,ZA,73.49,clear sky,-33.5906,26.891,The Halyards Hotel
50,Santiago,CL,79.29,scattered clouds,-33.4569,-70.6483,Che Lagarto Hostel Santiago
51,Vaini,TO,80.28,light rain,-21.2,-175.2,Keleti Beach Resort
56,Isangel,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
57,Guane,CU,76.71,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
58,Chuy,UY,79.56,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
59,Kahului,US,70.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
65,Atambua,ID,71.92,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
66,Jaru,BR,82.63,broken clouds,-10.4389,-62.4664,Hotel Paraná
67,Butaritari,KI,81.18,light rain,3.0707,172.7902,Isles Sunset Lodge
70,Atuona,PF,77.05,light rain,-9.8,-139.0333,Villa Enata
71,Sambava,MG,78.82,light rain,-14.2667,50.1667,Melrose
74,Lompoc,US,72.79,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
75,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
76,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
77,Galle,LK,77.31,overcast clouds,6.0367,80.217,Amangalla
78,Olinda,BR,87.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
82,Eirunepe,BR,80.64,overcast clouds,-6.6603,-69.8736,Atrás de você
83,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
84,Ponta Do Sol,PT,70.72,overcast clouds,32.6667,-17.1,Hotel do Campo
85,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
88,Samarai,PG,81.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
89,Kirakira,SB,78.37,light rain,-10.4544,161.9205,SanBiz Lodge
96,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Tomatlan,MX,76.62,clear sky,19.9333,-105.25,El Salvial
98,Castro,BR,76.87,few clouds,-24.7911,-50.0119,CHACARA BAILLY
99,Bontang,ID,78.28,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
101,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
112,Progreso,MX,75.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
113,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
114,Champerico,GT,86.76,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
121,Bandarbeyla,SO,74.35,few clouds,9.4942,50.8122,JABIR HOTEL
124,Cabedelo,BR,88.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
128,Tagusao,PH,78.33,broken clouds,9.1924,117.8141,Green Villa beach resort
130,Kununurra,AU,80.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
131,Mar Del Plata,AR,80.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
132,Axim,GH,83.98,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
133,Alyangula,AU,76.87,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
135,Pitimbu,BR,88.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
139,Quelimane,MZ,85.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
141,Isiro,CD,83.8,overcast clouds,2.7739,27.616,Guest House Hewa Bora
144,Cape Town,ZA,75.61,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
146,Rocha,UY,82.15,clear sky,-34.4833,-54.3333,Hotel Arrarte
147,Mahibadhoo,MV,81.59,overcast clouds,3.7833,72.9667,Omadhoo Inn
154,San Rafael,AR,86.61,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
156,Vanimo,PG,79.77,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
163,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
165,Kabinda,CD,71.28,light rain,-6.1333,24.4833,Village Mianda Mutole
166,Sao Filipe,CV,79.97,overcast clouds,14.8961,-24.4956,Hotel Xaguate
167,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
168,Vila Velha,BR,78.94,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
170,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
172,Inhambane,MZ,85.98,few clouds,-23.865,35.3833,Oceano
173,Dingle,PH,76.37,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
175,Luwuk,ID,77.31,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
179,Quatre Cocos,MU,80.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
183,Mogadishu,SO,77.83,clear sky,2.0371,45.3438,Hotel Juba
184,Bredasdorp,ZA,72.72,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
186,Jibuti,DJ,74.62,scattered clouds,11.5,42.5,Orchid Main Camp Goubet
187,Soyo,AO,86.05,few clouds,-6.1349,12.3689,Hotel Mpampa
190,Narok,KE,70.07,broken clouds,-1.0783,35.8601,OLORROPIL TOWERS
192,Upata,VE,87.6,overcast clouds,8.0086,-62.3989,Posada Villa Nela
195,Tual,ID,82.94,very heavy rain,-5.6667,132.75,Grand Vilia Hotel
198,Dharampur,IN,72.57,clear sky,20.5333,73.1833,Motel 11
202,Nizwa,OM,71.35,clear sky,22.9333,57.5333,Orient Apartments
208,Kavieng,PG,80.91,light rain,-2.5744,150.7967,Nusa Island Retreat
209,Biak,ID,76.5,scattered clouds,-0.9131,122.8766,Penginapan Kim
211,Grand-Santi,GF,83.8,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
212,Tevaitoa,PF,80.82,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
216,Cidreira,BR,76.44,clear sky,-30.1811,-50.2056,Hotel Castelo
218,Port Elizabeth,ZA,71.89,scattered clouds,-33.918,25.5701,39 On Nile Guest House
220,Harper,LR,83.86,scattered clouds,4.375,-7.7169,Screensaver
221,Santa Marta,CO,89.65,few clouds,11.2408,-74.199,Casa de Isabella
222,Dakoro,NE,87.4,clear sky,14.5106,6.765,Shagon mai liverpool
228,Guacui,BR,72.88,overcast clouds,-20.7756,-41.6794,Hotel Moreira
230,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
234,Ormara,PK,71.31,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
235,Ambilobe,MG,75.18,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
237,Esperance,AU,73.24,broken clouds,-33.8667,121.9,Hospitality Esperance
240,Mahajanga,MG,82.42,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
241,Bubaque,GW,79.74,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
248,Sumbe,AO,80.64,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
251,Bac Lieu,VN,78.89,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
253,Kalmunai,LK,78.21,few clouds,7.4167,81.8167,VS Villa
254,Sur,OM,71.02,clear sky,22.5667,59.5289,Sur Plaza Hotel
257,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
259,Jaguarao,BR,84.33,clear sky,-32.5661,-53.3758,Hotel Rio's
260,Menongue,AO,73.18,overcast clouds,-14.6585,17.691,Ritz Lauca
261,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
264,Yeppoon,AU,71.38,clear sky,-23.1333,150.7333,Villa Mar Colina
265,Buraydah,SA,79.25,scattered clouds,26.326,43.975,فندق راحة السلام
266,San Onofre,CO,88.54,scattered clouds,9.7359,-75.5263,Hotel Sinai
267,Pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
269,Namibe,AO,81.23,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
