City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,East London,-33.0153,27.9116,76.14,78,20,8.05,ZA,few clouds
1,Hobart,-42.8794,147.3294,59.05,65,100,8.05,AU,overcast clouds
2,Kargil,34.5667,76.1,-11.7,92,90,3.65,IN,overcast clouds
3,Khatanga,71.9667,102.5,1.2,92,100,15.32,RU,overcast clouds
4,Puerto Ayora,-0.7393,-90.3518,80.56,85,89,8.01,EC,overcast clouds
5,Ushuaia,-54.8,-68.3,49.62,81,75,31.07,AR,drizzle
6,Tabasco,18.0,-92.6667,73.08,76,96,6.98,MX,overcast clouds
7,Barrow,71.2906,-156.7887,-21.98,69,0,3.44,US,clear sky
8,Luanda,-8.8368,13.2343,89.6,48,75,10.36,AO,broken clouds
9,Tuktoyaktuk,69.4541,-133.0374,-14.8,70,100,2.3,CA,light snow
10,Ostrovnoy,68.0531,39.5131,26.49,85,100,20.51,RU,overcast clouds
11,Yumen,40.2833,97.2,23.68,44,55,6.22,CN,broken clouds
12,Madanapalle,13.55,78.5,67.84,58,5,5.08,IN,clear sky
13,Avarua,-21.2078,-159.775,71.65,100,100,3.44,CK,overcast clouds
14,Southend-On-Sea,51.5378,0.7143,46.94,60,20,11.5,GB,few clouds
15,Rikitea,-23.1203,-134.9692,78.67,71,20,17.25,PF,few clouds
16,Tasiilaq,65.6145,-37.6368,21.36,61,32,7.92,GL,scattered clouds
17,Mahebourg,-20.4081,57.7,80.26,83,40,5.75,MU,scattered clouds
18,Georgetown,5.4112,100.3354,80.89,84,20,3.44,MY,few clouds
19,Nikolskoye,59.7035,30.7861,36.88,91,94,10.2,RU,light snow
20,Cockburn Town,21.4612,-71.1419,77.81,72,11,16.75,TC,few clouds
21,Klaksvik,62.2266,-6.589,31.12,53,99,18.92,FO,overcast clouds
22,Souillac,-20.5167,57.5167,80.37,83,40,5.75,MU,light rain
23,Punta Arenas,-53.15,-70.9167,50.02,66,75,35.68,CL,broken clouds
24,New Norfolk,-42.7826,147.0587,58.71,55,75,3.0,AU,broken clouds
25,Antofagasta,-23.65,-70.4,73.22,53,1,7.38,CL,clear sky
26,Makakilo City,21.3469,-158.0858,71.92,76,75,6.91,US,broken clouds
27,Necochea,-38.5473,-58.7368,84.04,39,24,16.33,AR,few clouds
28,Yellowknife,62.456,-114.3525,-9.58,78,75,18.01,CA,broken clouds
29,Hilo,19.7297,-155.09,64.26,72,0,6.91,US,clear sky
30,Bria,6.5423,21.9863,94.87,13,42,2.42,CF,scattered clouds
31,Landerneau,48.4525,-4.2525,47.28,79,100,10.36,FR,overcast clouds
32,Seymchan,62.8833,152.4333,-39.1,98,100,1.01,RU,overcast clouds
33,Kodiak,57.79,-152.4072,17.11,73,0,3.44,US,clear sky
34,Mount Gambier,-37.8333,140.7667,49.91,93,40,0.0,AU,scattered clouds
35,Hermanus,-34.4187,19.2345,73.9,67,1,12.3,ZA,clear sky
36,Bethel,41.3712,-73.414,48.31,70,0,9.22,US,clear sky
37,Alcudia,39.8532,3.1214,61.38,66,0,3.53,ES,clear sky
38,Bowen,-20.0167,148.2333,75.42,76,6,7.36,AU,clear sky
39,Meulaboh,4.1363,96.1285,76.53,82,100,3.33,ID,overcast clouds
40,Jamestown,42.097,-79.2353,36.01,58,100,13.8,US,overcast clouds
41,La Paz,-16.5,-68.15,53.58,81,75,4.61,BO,fog
42,Bathsheba,13.2167,-59.5167,83.01,54,40,23.02,BB,scattered clouds
43,Mataura,-46.1927,168.8643,59.49,98,56,1.74,NZ,broken clouds
44,Busselton,-33.65,115.3333,72.09,77,5,9.44,AU,clear sky
45,Tutoia,-2.7619,-42.2744,85.98,74,48,9.19,BR,scattered clouds
46,Thinadhoo,0.5333,72.9333,81.82,70,69,7.56,MV,broken clouds
47,Port Alfred,-33.5906,26.891,73.49,76,7,14.81,ZA,clear sky
48,Waipawa,-41.4122,175.5153,67.46,82,99,16.02,NZ,light rain
49,Marzuq,14.4,46.4667,69.01,30,69,3.56,YE,broken clouds
50,Santiago,-33.4569,-70.6483,79.29,59,36,10.36,CL,scattered clouds
51,Vaini,-21.2,-175.2,80.28,82,80,23.42,TO,light rain
52,Kapaa,22.0752,-159.319,67.98,97,40,6.91,US,scattered clouds
53,Svoge,42.9667,23.35,48.9,83,3,2.57,BG,clear sky
54,Clyde River,70.4692,-68.5914,-18.17,76,100,10.36,CA,light snow
55,Kamenicky Senov,50.7736,14.4729,47.26,82,100,12.08,CZ,overcast clouds
56,Isangel,-19.55,169.2667,80.71,89,100,20.71,VU,overcast clouds
57,Guane,22.2025,-84.0875,76.71,49,1,7.38,CU,clear sky
58,Chuy,-33.6971,-53.4616,79.56,46,13,11.95,UY,few clouds
59,Kahului,20.8947,-156.47,70.84,78,0,6.91,US,clear sky
60,Bluff,-46.6,168.3333,59.81,89,95,14.05,NZ,overcast clouds
61,Lagoa,39.05,-27.9833,58.26,72,39,9.28,PT,scattered clouds
62,Dikson,73.5069,80.5464,4.82,94,87,28.9,RU,overcast clouds
63,Touros,-5.1989,-35.4608,90.5,51,56,12.53,BR,broken clouds
64,Lebu,-37.6167,-73.65,61.38,58,25,24.99,CL,scattered clouds
65,Atambua,-9.1061,124.8925,71.92,92,100,0.34,ID,light rain
66,Jaru,-10.4389,-62.4664,82.63,82,73,5.55,BR,broken clouds
67,Butaritari,3.0707,172.7902,81.18,79,33,16.93,KI,light rain
68,Qaanaaq,77.484,-69.3632,-20.92,56,8,7.87,GL,clear sky
69,Hofn,64.2539,-15.2082,24.82,63,20,10.36,IS,few clouds
70,Atuona,-9.8,-139.0333,77.05,81,16,15.88,PF,light rain
71,Sambava,-14.2667,50.1667,78.82,84,61,3.4,MG,light rain
72,Saskylakh,71.9167,114.0833,3.92,94,100,14.0,RU,light snow
73,Goderich,43.7501,-81.7165,31.91,74,83,12.66,CA,broken clouds
74,Lompoc,34.6391,-120.4579,72.79,53,0,9.22,US,clear sky
75,Alofi,-19.0595,-169.9187,75.09,100,75,3.44,NU,broken clouds
76,Carnarvon,-24.8667,113.6333,80.67,74,38,4.61,AU,scattered clouds
77,Galle,6.0367,80.217,77.31,84,100,4.14,LK,overcast clouds
78,Olinda,-8.0089,-34.8553,87.53,58,40,11.5,BR,scattered clouds
79,Awjilah,29.1081,21.2869,57.74,40,1,10.13,LY,clear sky
80,Radeberg,51.1167,13.9167,47.8,75,75,13.8,DE,broken clouds
81,La Baule-Escoublac,47.2922,-2.364,55.06,68,75,6.91,FR,broken clouds
82,Eirunepe,-6.6603,-69.8736,80.64,73,98,0.92,BR,overcast clouds
83,San Andres,12.5847,-81.7006,84.22,70,40,11.5,CO,scattered clouds
84,Ponta Do Sol,32.6667,-17.1,70.72,80,100,6.08,PT,overcast clouds
85,Hithadhoo,-0.6,73.0833,82.2,68,100,7.29,MV,overcast clouds
86,Nanortalik,60.1432,-45.2371,26.35,55,71,5.95,GL,broken clouds
87,Caxito,-8.5785,13.6643,90.25,55,94,11.79,AO,overcast clouds
88,Samarai,-10.6167,150.6667,81.66,66,97,15.08,PG,overcast clouds
89,Kirakira,-10.4544,161.9205,78.37,85,93,7.02,SB,light rain
90,Codrington,-38.2667,141.9667,56.95,77,4,8.16,AU,clear sky
91,Thompson,55.7435,-97.8558,-7.44,77,100,11.5,CA,overcast clouds
92,Victoria,22.2855,114.1577,65.25,87,100,11.99,HK,overcast clouds
93,Mackenzie,55.2999,-123.1698,41.22,45,0,18.41,CA,clear sky
94,Sorland,67.667,12.6934,35.67,63,100,29.46,NO,overcast clouds
95,Mayskiy,47.6931,40.1025,35.01,97,100,14.83,RU,overcast clouds
96,Saint-Philippe,-21.3585,55.7679,78.39,79,23,6.67,RE,few clouds
97,Tomatlan,19.9333,-105.25,76.62,27,1,0.85,MX,clear sky
98,Castro,-24.7911,-50.0119,76.87,54,14,3.89,BR,few clouds
99,Bontang,0.1333,117.5,78.28,84,100,1.19,ID,overcast clouds
100,Nioro,13.35,-15.75,101.79,6,2,11.88,GM,clear sky
